Longitude,Latitude,Remark
8.668715,49.341268,St Ilgen-Sandhausen
8.664146,49.291353,Wiesloch-Walldorf
8.65221,49.243385,Rot-Malsch
8.646821,49.219345,Bad Schönborn-Kronau
8.641924,49.200001,Bad Schönborn Süd
8.623335,49.167021,Ubstadt-Weiher
8.589649,49.124622,Bruchsal
8.54829,49.087651,Untergrombach
8.521224,49.059101,Weingarten (Baden)
8.462822,49.002328,Karlsruhe-Durlach
8.494792,49.455545,Mannheim-Neckarau
8.534944,49.424091,Mannheim-Rheinau
8.578679,49.383434,Schwetzingen
8.579013,49.373505,Oftersheim
8.537385,49.317414,Hockenheim
8.530075,49.292199,Neulussheim
8.508313,49.248186,Waghäusel
8.50239,49.225458,Wiesental
8.49063,49.161797,Graben-Neudorf
8.474278,49.101299,Friedrichstal (Baden)
8.464729,49.066528,Blankenloch
8.453916,49.026964,Karlsruhe Hagsfeld Stadtbahn
8.341171,49.026695,Karlsruhe-Knielingen
8.351126,49.014557,Karlsruhe-Mühlburg
8.415966,49.229156,Rheinsheim
8.454023,49.231621,Philippsburg (Baden)
8.472636,49.197162,Huttenheim (D)
8.547872,49.144484,Karlsdorf
8.693448,49.0369,Bretten
8.362951,49.002159,Karlsruhe-West
8.914663,49.136001,Eppingen
8.720887,49.415237,Heidelberg Altstadt
8.760564,49.415309,Heidelberg Schlierbach/Ziegelh
8.788425,49.393678,Neckargemünd
8.841429,49.404909,Neckarsteinach
8.879703,49.416954,Neckarhausen b Neckarsteinach
8.896055,49.442668,Hirschhorn (Neckar)
8.984152,49.465768,Eberbach
9.00646,49.416918,Lindach
9.04283,49.416029,Zwingenberg (Baden)
9.074704,49.397906,Neckargerach (D)
9.083631,49.372589,Binau
9.113093,49.348484,Mosbach-Neckarelz
9.137577,49.316563,Neckarzimmern
9.154129,49.30403,Hassmersheim
9.15787,49.282933,Gundelsheim (Neckar)
9.165293,49.246414,Offenau
9.143655,49.35256,Mosbach (Baden)
9.163721,49.378383,Neckarburken
9.18755,49.388078,Dallau
9.223276,49.399563,Auerbach(b Mosbach)
9.27885,49.416925,Oberschefflenz
9.290317,49.432439,Eicholzheim
9.338469,49.441157,Seckach
9.317207,49.475929,Bödigheim
9.327179,49.523529,Buchen (Odenw)
9.326884,49.543058,Hainstadt(Baden)
9.367542,49.578023,Walldürn
9.291189,49.624722,Rippberg
9.332137,49.519152,Buchen Ost
9.392754,49.42149,Adelsheim Nord
9.371975,49.430411,Zimmern(b Seckach)
8.783685,49.359588,Bammental
8.778836,49.353966,Reilsheim
8.795545,49.335802,Mauer(b Heidelberg)
8.812836,49.320658,Meckesheim
8.821439,49.297394,Zuzenhausen (D)
8.838411,49.272037,Hoffenheim
8.8751,49.250353,Sinsheim(Elsenz) Hbf
8.907978,49.235822,Steinsfurt
8.920591,49.216431,Reihen
8.93458,49.187119,Ittlingen
8.936554,49.167846,Richen(b Eppingen)
8.996902,49.226145,Grombach
9.060708,49.240196,Babstadt
9.101529,49.237765,Bad Rappenau
9.167297,49.229744,Bad Wimpfen
9.138753,49.242537,Bad Wimpfen-Hohenstadt
8.402181,48.993515,Karlsruhe Hbf
8.399587,48.994346,Karlsruhe Bahnhofsvorplatz
8.387878,48.947182,Ettlingen West
8.373975,48.923992,Bruchhausen (b Ettl)
8.323585,48.889506,Malsch
8.274293,48.876805,Muggensturm
8.215623,48.860483,Rastatt
8.256112,48.834128,Kuppenheim
8.319977,48.805772,Gaggenau
8.34519,48.781523,Hörden
8.336714,48.768307,Gernsbach
8.355263,48.727532,Weisenbach
8.361491,48.680399,Forbach(Schwarzw)
8.369354,48.605345,Schönmünzach
8.399008,48.526627,Klosterreichenbach
8.371868,48.504104,Baiersbronn Bf
8.190831,48.790327,Baden-Baden
8.129299,48.696676,Bühl (Baden)
8.065324,48.63399,Achern
8.007138,48.59266,Renchen (D)
7.97319,48.541461,Appenweier
7.946723,48.476475,Offenburg
7.862948,48.381589,Friesenheim (Baden)
7.834734,48.340436,Lahr (Schwarzw)
7.790281,48.274192,Orschweier
7.773037,48.248726,Ringsheim
7.767638,48.223866,Herbolzheim (Breisgau)
7.764094,48.194451,Kenzingen
7.77085,48.151969,Riegel-Malterdingen
7.802925,48.137458,Köndringen
7.824408,48.128777,Teningen-Mundingen
7.847511,48.119454,Emmendingen
7.887074,48.098271,Kollmarsreute
7.881434,48.068625,Denzlingen
7.874185,48.044025,Gundelfingen (Breisgau)
7.863734,48.024363,Freiburg (D) Zähringen
7.850973,48.008237,Freiburg (D) Herdern
7.84117,47.997697,Freiburg (Breisgau) Hbf
7.854127,47.982413,Freiburg (D) Wiehre
7.895133,47.981672,Freiburg (D) Littenweiler
7.959132,47.967936,Kirchzarten
7.991356,47.958616,Himmelreich
8.106033,47.906278,Hinterzarten
8.155069,47.903402,Titisee
8.098294,47.871444,Feldberg-Bärental
8.114113,47.859392,Altglashütten-Falkau
8.134349,47.833224,Aha
8.177126,47.816868,Schluchsee
8.191115,47.803516,Seebrugg
8.210883,47.910198,Neustadt (Schwarzw)
7.803006,47.975496,Freiburg (D) St. Georgen
7.76818,47.96036,Ebringen
7.753888,47.955947,Schallstadt
7.726196,47.93925,Norsingen
7.697632,47.919721,Bad Krozingen
7.646194,47.879859,Heitersheim
7.628161,47.855254,Buggingen
7.599332,47.809743,Müllheim (Baden)
7.586788,47.789949,Auggen
7.568937,47.761598,Schliengen
7.557601,47.730804,Bad Bellingen
7.531643,47.709532,Rheinweiler
7.524662,47.686129,Kleinkems
7.542943,47.660889,Istein
7.563918,47.655619,Efringen-Kirchen
7.5956,47.627948,Eimeldingen
7.611683,47.612837,Haltingen
7.608416,47.593966,Weil am Rhein
7.63478,47.590629,Weil am Rhein-Ost
7.652008,47.583156,Riehen
7.659032,47.601418,Lörrach-Stetten
7.66542,47.614053,Lörrach Hbf
7.680893,47.633233,Lörrach Haagen/Messe
7.695207,47.637611,Lörrach Brombach/Hauingen
7.741561,47.641604,Steinen (D)
7.780662,47.644374,Maulburg
7.822674,47.64797,Schopfheim
7.839425,47.66156,Fahrnau
7.846041,47.67931,Hausen-Raitbach
7.849149,47.705626,Zell (Wiesental)
7.659506,47.5509,Grenzach
7.690918,47.546328,Wyhlen (D)
7.739663,47.549507,Herten (Baden)
7.784209,47.556923,Rheinfelden (D)
7.810915,47.581906,Beuggen
7.870328,47.591019,Schwörstadt
7.910525,47.58092,Wehr-Brennet
7.94863,47.555857,Bad Säckingen
8.018725,47.553452,Murg (Baden)
8.058312,47.563408,Laufenburg (Baden)
8.073691,47.566163,Laufenburg (Baden) Ost
8.131774,47.592235,Albbruck
8.167356,47.608887,Dogern (D)
8.219526,47.621368,Waldshut
8.272003,47.635471,Tiengen (Hochrhein)
8.322193,47.629088,Lauchringen
8.396003,47.628432,Griessen (Baden)
8.430123,47.659541,Erzingen (Baden)
8.46386,47.679448,Wilchingen-Hallau
8.495384,47.689151,Neunkirch
8.574616,47.694897,Beringen Bad Bf
8.612186,47.682615,Neuhausen Bad Bf
8.664127,47.717003,Herblingen
8.436804,47.665238,Trasadingen
8.7043,47.745502,Thayngen
8.738915,47.744017,Bietingen
8.77543,47.737401,Gottmadingen
8.010192,48.404659,Gengenbach
8.032762,48.338388,Biberach (Baden)
8.056469,48.298992,Steinach (Baden)
8.087975,48.28004,Haslach
8.181665,48.284924,Hausach
8.23294,48.211895,Hornberg (Schwarzw)
8.236806,48.140004,Triberg
8.341955,48.123813,St Georgen (Schwarzw)
8.465261,48.058022,Villingen (Schwarzw)
8.498919,47.947786,Donaueschingen
8.653951,47.921342,Geisingen
8.729536,47.936007,Immendingen
8.476514,47.768832,Weizen
8.451368,47.74703,Stühlingen
8.772786,47.856347,Engen
8.769216,47.83403,Welschingen-Neuhausen
8.804391,47.813658,Mühlhausen (b Engen)
8.840383,47.758438,Singen (Hohentwiel)
8.453917,49.492623,Mannheim Handelshafen
8.477775,49.517201,Mannheim-Luzenberg
8.459566,49.503633,Mannheim-Neckarstadt
8.926651,47.748732,Böhringen-Rickelshausen
8.968984,47.735873,Radolfzell
9.002772,47.739364,Markelfingen
9.068852,47.714464,Allensbach
9.099572,47.706037,Hegne
9.125961,47.689346,Reichenau (Baden)
9.173468,47.674092,Konstanz-Petershausen
9.177312,47.658754,Konstanz
9.179538,47.659864,Konstanz Hafen
9.157805,47.740994,Dingelsdorf
9.145642,47.769269,Überlingen Therme
9.225928,47.722875,Unteruhldingen
9.272265,47.692027,Meersburg (Bodensee)
9.314118,47.673518,Hagnau (Bodensee)
9.367036,47.662326,Immenstaad (Bodensee)
9.481875,47.650861,Friedrichshafen Hafen
9.539913,47.595152,Langenargen Hafen
9.599651,47.586469,Kressbronn Hafen
9.605344,47.574442,Nonnenhorn Hafen
9.630216,47.565661,Wasserburg (Bodensee) Hafen
9.664967,47.557369,Bad Schachen
9.682267,47.543782,Lindau Hafen
8.158313,49.354245,Neustadt-Böbig
11.081692,49.446567,Nürnberg Hbf Bahnhofsvorplatz
7.884263,49.968729,Bingen(Rhein) Hbf
7.902985,49.969746,Bingen(Rhein) Stadt
8.277565,49.993465,Mainz Römisches Theater
8.314183,49.961233,Mainz-Laubenheim
8.312491,49.929585,Bodenheim
8.341885,49.919106,Nackenheim
8.34281,49.872002,Nierstein
8.358078,49.85756,Oppenheim
8.351257,49.79198,Guntersblum
8.342462,49.765528,Alsheim
8.334166,49.739906,Mettenheim
8.325988,49.705423,Osthofen
8.356448,49.63494,Worms Hbf
8.35032,49.588139,Bobenheim
8.349702,49.535567,Frankenthal Hbf
8.381523,49.493188,Ludwigshafen-Oggersheim
8.43896,49.493971,Ludwigshafen(Rhein) BASF Süd
8.433402,49.477987,Ludwigshafen(Rhein) Hbf
8.421092,49.461572,Ludwigshafen-Mundenheim
8.409493,49.447471,Ludwigshafen-Rheingönheim
8.390747,49.424273,Limburgerhof
8.364945,49.39291,Schifferstadt
8.427949,49.324119,Speyer Hbf
8.406173,49.295449,Berghausen (Pfalz)
8.393726,49.28566,Heiligenstein(Pfalz)
8.349523,49.252584,Lingenfeld
8.365282,49.225402,Germersheim
8.360272,49.194981,Sondernheim
8.29456,49.188303,Bellheim
8.290446,49.160871,Rülzheim (D)
8.274166,49.119537,Rheinzabern
8.272272,49.092289,Jockgrim
8.273146,49.045678,Wörth (Rhein)
8.253223,49.01628,Hagenbach
7.898033,49.947388,Münster-Sarmsheim
7.897215,49.918799,Laubenheim(Nahe)
7.899887,49.901372,Langenlonsheim
7.898692,49.874587,Bretzenheim(Nahe)
7.866435,49.842399,Bad Kreuznach
7.846989,49.813426,Bad Münster am Stein
7.956653,49.878575,Welgesheim-Zotzenheim
7.981795,49.858947,Sprendlingen(Rheinh)
8.020291,49.840292,Gau Bickelheim
8.049458,49.832648,Wallertheim
7.938188,49.89826,Gensingen-Horrweiler
7.59071,49.653709,Lauterecken-Grumbach
7.830745,49.786857,Altenbamberg
7.829096,49.763342,Hochstätten(Pfalz)
7.817189,49.727495,Alsenz
7.81727,49.628385,Rockenhausen
7.807976,49.597656,Imsweiler
7.855955,49.570548,Winnweiler
8.074113,49.808372,Armsheim
8.116579,49.771375,Albig
8.109749,49.7502,Alzey
8.219806,49.630213,Harxheim-Zell
8.204274,49.656901,Nieder Flörsheim-Dalsheim
8.196596,49.690167,Gundersheim(Rheinh)
8.162882,49.700063,Eppelsheim(Rheinhess)
8.279654,49.634634,Pfeddersheim
8.208162,49.633666,Monsheim (D)
8.168439,49.635362,Wachenheim-Mölsheim
8.096752,49.644776,Albisheim(Pfrimm)
8.039141,49.623021,Marnheim
8.016444,49.599376,Göllheim-Dreisen
7.899501,49.489933,Enkenbach
8.188254,49.606872,Bockenheim-Kindenheim
8.178998,49.580683,Albsheim(Eis)
8.167962,49.564384,Grünstadt
8.181452,49.537163,Kirchheim(Weinstr)
8.205192,49.501493,Freinsheim
8.210697,49.488326,Erpolzheim
8.170701,49.460633,Bad Dürkheim
8.191152,49.4393,Wachenheim (Pfalz)
8.192634,49.408349,Deidesheim
8.168529,49.37196,Mussbach
8.193072,49.466416,Bad Dürkheim-Trift
8.133923,49.569195,Mertesheim
8.108237,49.564004,Ebertsheim
8.070582,49.554483,Eisenberg (Pfalz)
8.02113,49.534971,Ramsen (D)
8.333801,49.513958,Flomersheim
8.283476,49.511863,Lambsheim
8.249874,49.513931,Weisenheim(Sand)
8.303602,49.379831,Böhl-Iggelheim
8.253396,49.371956,Hassloch (Pfalz)
8.140757,49.349553,Neustadt (Weinstr) Hbf
8.074391,49.373336,Lambrecht (Pfalz)
7.994912,49.417494,Weidenthal
7.969802,49.438867,Frankenstein(Pfalz)
7.904244,49.443993,Hochspeyer
8.147177,49.30558,Maikammer-Kirrweiler
8.14062,49.282053,Edenkoben
8.139075,49.263736,Edesheim (Pfalz)
8.148265,49.23817,Knöringen-Essingen
8.126204,49.197741,Landau (Pfalz) Hbf
8.107052,49.195748,Landau (Pfalz) West
8.152132,49.157624,Insheim
8.14152,49.138017,Rohrbach (Pfalz)
8.122479,49.095452,Winden (Pfalz)
8.079776,49.061238,Schaidt (Pfalz)
8.070307,49.104118,Barbelroth
8.002787,49.103209,Bad Bergzabern
8.198025,49.07914,Kandel
8.024464,49.21847,Albersweiler(Pfalz)
