Id;Label;Longitude;Latitude
547;La Heutte;7.225388;47.189484
548;Reuchenette-Péry;7.247013;47.189729
549;Frinvillier-Taubenloch;7.25752;47.169445
550;Colombier;6.848869;46.96764
551;Boudry;6.835046;46.959445
552;Bevaix;6.811679;46.929688
553;Gorgier-St-Aubin;6.781025;46.899066
554;Vaumarcus;6.757582;46.877636
555;Concise;6.723161;46.85087
556;Malleray-Bévilard;7.275932;47.238705
557;Pontenet;7.254153;47.238842
558;Reconvilier;7.22741;47.235225
559;Tavannes;7.201634;47.219839
560;Sorvilier;7.305765;47.239238
561;Court;7.342095;47.240588
562;St-Blaise CFF;6.982108;47.014566
563;Cornaux;7.023363;47.03856
564;Cressier NE;7.039526;47.05194
565;Le Landeron;7.066329;47.056627
566;La Neuveville;7.095219;47.062825
567;Ligerz;7.135091;47.083806
568;Twann;7.156242;47.093485
569;Tüscherz;7.197304;47.114996
570;Solothurn West;7.531945;47.206709
571;Langendorf;7.513006;47.217939
572;Lommiswil;7.469494;47.218579
573;Im Holz;7.475007;47.230909
574;Oberdorf SO;7.493499;47.236137
575;Gänsbrunnen;7.465146;47.265676
576;Crémines-Zoo;7.456626;47.272558
577;Corcelles BE;7.450351;47.285619
578;Crémines;7.435309;47.285574
579;Grandval;7.422302;47.283711
580;Solothurn Allmend;7.521573;47.20848
581;Bellach;7.508203;47.209352
582;Selzach;7.456827;47.200844
583;Bettlach;7.428071;47.194845
584;Lengnau;7.366546;47.179424
585;Pieterlen;7.339266;47.17138
586;Biel/Bienne Bözingenfeld/Champs-de-Boujean;7.2948841;47.1586426
587;Biel Mett;7.272475;47.144714
588;Olten Hammer;7.897706;47.348552
589;Wangen bei Olten;7.868561;47.34164
590;Hägendorf;7.843599;47.330424
591;Egerkingen;7.799083;47.315065
592;Oberbuchsiten;7.771605;47.305361
593;Niederbipp;7.694384;47.270272
594;Wangen an der Aare;7.655734;47.231809
595;Deitingen;7.618899;47.218218
596;Luterbach-Attisholz;7.583515;47.217144
597;Lupfig;8.21223;47.443854
598;Birr;8.216763;47.437438
599;Schönenwerd SO;8.000448;47.371538
